,match_id,opposing_team_id,side,duration,my_hero_1,my_hero_2,my_hero_3,my_hero_4,my_hero_5,opposing_hero_1,opposing_hero_2,opposing_hero_3,opposing_hero_4,opposing_hero_5,my_team_kills,opposing_team_kills,gold_adv,xp_adv,my_tower_status,opposing_team_tower_status,win
0,6809621786,7732977,dire,1901,136,11,61,87,17,85,123,43,46,19,28,13,19623,18197,1974,1536,1
1,6809585544,7732977,radiant,1613,137,52,91,18,7,129,119,74,68,10,22,6,24806,29717,1983,1572,1
2,6809420587,6209804,radiant,1672,137,66,114,38,119,11,88,128,120,64,32,9,15500,16130,1983,1536,1
3,6808199906,2163,radiant,2583,33,19,110,13,10,85,120,86,35,2,20,25,10673,18586,1956,288,1
4,6808106195,2163,radiant,2785,33,19,25,87,54,137,85,52,38,99,32,29,14209,32044,1828,0,1
5,6807886590,2586976,radiant,1775,137,43,120,50,53,19,111,74,11,29,26,4,23301,21343,1983,1568,1
6,6807837834,2586976,radiant,1621,85,11,88,120,40,15,103,45,41,97,35,9,21705,25759,1983,1796,1
7,6806790160,7390454,radiant,2654,66,86,52,129,46,97,9,120,54,43,9,29,-15419,-36179,1536,1972,0
8,6806663153,7390454,dire,2178,106,66,96,6,88,137,10,52,102,128,18,16,19336,24381,2038,1568,1
9,6806282012,39,radiant,3051,137,69,93,31,13,58,41,136,33,106,18,49,3351,-15774,260,1796,0
10,6806228770,39,radiant,1797,136,92,129,111,48,137,86,18,11,33,9,30,-13234,-17460,1956,1982,0
11,6806097974,8131728,dire,2144,19,31,52,92,41,136,10,22,51,128,8,34,-11389,-18321,1952,1847,0
12,6806047579,8131728,dire,2603,33,19,50,22,109,112,11,51,23,78,22,23,9066,12937,1828,1542,1
13,6707754788,7119388,dire,2647,15,107,23,91,81,66,39,86,99,2,27,28,-10249,-20055,256,1846,0
14,6707714718,7119388,dire,1641,7,43,3,89,98,19,22,38,79,18,5,14,-5018,-11367,2020,1975,0
15,6707633683,7119388,dire,4507,15,50,89,100,90,47,136,3,114,39,29,43,-4713,-44581,1792,0,0
16,6707542480,7119388,radiant,2223,66,47,86,13,14,19,33,50,12,100,25,16,18636,27881,1974,1312,1
17,6705943008,7119388,radiant,2962,58,41,7,17,135,15,136,46,51,126,38,23,29310,53639,1846,0,1
18,6705859209,7119388,radiant,2427,19,5,98,110,44,66,136,114,129,128,32,24,19264,26675,1982,512,1
19,6702893323,2586976,radiant,3028,15,19,50,120,73,136,47,7,90,10,35,31,19987,41542,1572,1312,1
20,6702820706,2586976,radiant,2094,136,47,14,67,38,19,13,53,103,28,37,12,9853,21564,1846,1924,1
21,6702750795,2586976,radiant,1308,120,128,73,28,8,66,4,91,17,95,2,17,-10627,-8410,1574,2046,0
22,6699751529,7732977,dire,2364,43,100,66,70,23,19,13,98,58,94,37,15,23484,38959,1974,260,1
23,6699654301,7732977,dire,2029,43,7,41,58,22,114,50,129,69,40,31,11,24522,37069,2038,1792,1
24,6698298491,7391077,dire,2009,47,66,106,100,99,19,65,102,135,48,28,29,11097,7376,2038,4,1
25,6698208797,7391077,dire,1636,19,15,110,17,42,50,114,100,74,55,24,15,17599,31228,2038,1974,1
26,6697224046,6209804,dire,2626,15,107,50,120,67,136,53,13,21,47,39,36,892,31525,1572,388,1
